id,icelandicName,type,status,verdict,url
44,aage,DR,Sam,,
1832,aagot,ST,Sam,,
5248,aaliyah,ST,Sam,09.12.2021,
5589,aariah,ST,Haf,07.06.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=c4372a95-14e9-11ee-9bbb-005056bc4727&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
1,aaron,DR,Haf,,
4338,aaron,DR,Sam,26.08.2013,
1774,abel,MI,Haf,,
3416,abel,DR,Sam,,
3417,abel,ST,Haf,,
4795,abel,ST,Sam,16.10.2018,
1833,abela,ST,Sam,,
3881,abigael,ST,Sam,06.02.2009,
3477,abigail,ST,Haf,18.12.2003,
45,abraham,DR,Sam,,
1834,ada,ST,Sam,,
46,adam,DR,Sam,,
1835,adda,ST,Sam,,
47,addi,DR,Sam,,
4328,addú,ST,Sam,06.06.2013,
1836,addý,ST,Sam,,
3521,adel,DR,Sam,08.07.2004,
1837,adela,ST,Sam,,
5372,adele,ST,Sam,24.05.2022,
4297,adelía,ST,Sam,11.12.2012,
5388,adil,DR,Sam,20.06.2022,
4477,adolf,DR,Sam,,
5469,adolfína,ST,Sam,05.01.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=6550c516-934c-11ed-9bb4-005056bc4727&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
5477,adolph,RDR,Sam,09.02.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=7f842197-ab8c-11ed-9bb5-f992086adea7&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
2,adrian,DR,Haf,21.01.2010,
4644,adrian,DR,Sam,06.01.2017,
4080,adriana,ST,Haf,06.05.2016,
5844,adriana,ST,Sam,07.03.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=be1297ba-e1e4-11ee-b883-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
50,adrían,DR,Sam,21.01.2010,
3929,adríana,ST,Sam,14.05.2009,
5359,adríanna,ST,Sam,26.04.2022,
51,adríel,DR,Sam,,
48,adíel,DR,Sam,,
49,adólf,DR,Sam,,
8545,aelía,ST,Sam,30.07.2026,
5886,aftur,DR,Haf,13.03.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=e7d8d862-e1f1-11ee-b883-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
5887,aftur,MI,Haf,13.03.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=e7d8d862-e1f1-11ee-b883-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
7102,aftur,DR,Haf,23.05.2025,
1846,agata,ST,Sam,,
1702,agatha,RST,Sam,,
5487,agl,KH,Sam,09.02.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=3d560a2d-ab8f-11ed-9bb5-f992086adea7&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
1848,agla,ST,Sam,,
60,agnar,DR,Sam,,
1849,agnea,ST,Sam,,
1850,agnes,ST,Sam,,
1851,agneta,ST,Sam,,
4967,agney,ST,Sam,19.05.2020,
61,agni,DR,Sam,,
5019,agok,ST,Sam,21.09.2020,
1847,agða,ST,Sam,,
6173,ahelia,ST,Sam,02.07.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=8f7b0e76-3abe-11ef-b886-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
7605,ai,ST,Sam,31.10.2025,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=3955f831-cc3f-11f0-b897-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
5064,ailsa,ST,Haf,19.01.2021,
3941,aisha,ST,Haf,04.11.2009,
5484,aisha,ST,Sam,09.02.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=ae631d66-ab8e-11ed-9bb5-f992086adea7&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
4687,ajmiya,ST,Haf,22.09.2017,
5417,akarn,KH,Sam,05.09.2022,
4374,akira,ST,Sam,29.11.2013,
6714,aksel,DR,Sam,23.01.2025,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=00626913-e39f-11ef-b88e-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
5058,alaia,ST,Haf,19.01.2021,
4545,alan,DR,Sam,18.11.2015,
3980,alanta,ST,Sam,10.06.2009,
5059,alaía,ST,Sam,19.01.2021,
1852,alba,ST,Sam,,
62,albert,DR,Sam,,
1853,alberta,ST,Sam,,
4826,albjört,ST,Sam,05.02.2019,
1854,albína,ST,Sam,,
1855,alda,ST,Sam,,
3457,aldan,MI,Sam,,
4958,aldan,DR,Sam,21.04.2020,
63,aldar,DR,Sam,,
4546,aldey,ST,Sam,18.11.2015,
1857,aldný,ST,Sam,,
4903,aldur,DR,Sam,03.10.2019,
1856,aldís,ST,Sam,,
5436,alejandro,DR,Sam,02.11.2022,
5437,alejandro,DR,Sam,02.11.2022,
5046,aleksandra,ST,Haf,22.12.2020,
4358,alena,ST,Sam,16.10.2013,
3827,alessandra,ST,Haf,22.08.2008,
3716,aleta,ST,Sam,14.09.2006,
3645,aletta,ST,Sam,10. október 2005,
64,alex,DR,Sam,,
4375,alex,ST,Haf,19.12.2013,
4853,alex,ST,Sam,22.05.2019,
3541,alexa,ST,Sam,19.08.2004,
65,alexander,DR,Sam,,
3419,alexander jónas,RDR,Sam,,
1858,alexandra,ST,Sam,,
1859,alexandría,ST,Sam,,
7101,alexia,ST,Sam,23.05.2025,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=4c246651-4c37-11f0-b892-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
4167,alexis,ST,Sam,01.07.2011,
1686,alexsandra,RST,Haf,,
4032,alexsandra,ST,Haf,25.03.2010,
4229,alexsandra,ST,Haf,26.06.2018,
4230,alexsandra,ST,Haf,01.03.2012,
5311,alexsandra,ST,Haf,22.03.2022,
4523,alexstrasa,ST,Sam,28.08.2015,
4524,alexstrasza,ST,Haf,28.08.2015,
1860,alexía,ST,Sam,,
66,alexíus,DR,Sam,,
5394,alf,DR,Sam,20.06.2022,
1861,alfa,ST,Sam,,
67,alfons,DR,Sam,,
68,alfred,DR,Sam,,
69,alfreð,DR,Sam,,
1862,alfífa,ST,Sam,,
3634,ali,DR,Sam,10.08.2005,
5056,alia,ST,Haf,19.01.2021,
4686,aliana,ST,Haf,22.09.2017,
5581,alica,ST,Sam,07.06.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=7dfc628d-14e9-11ee-9bbb-005056bc4727&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
1863,alice,ST,Sam,,
4106,alida,ST,Sam,21.01.2011,
4698,alisa,ST,Sam,27.10.2017,
1867,alla,ST,Sam,,
70,allan,DR,Sam,,
4301,alli,DR,Sam,09.01.2013,
3432,allý,ST,Sam,,
1868,alma,ST,Sam,,
4754,alma,DR,Haf,26.06.2018,
71,almar,DR,Sam,,
5354,alpa,ST,Sam,25.04.2022,
4727,alparós,ST,Sam,20.03.2018,
5060,alpha,DR,Haf,19.01.2021,
5166,alpha,KH,Sam,09.09.2021,
4235,alpine,ST,Haf,02.04.2012,
5043,alpine,MI,Haf,24.11.2020,
72,alrekur,DR,Sam,,
1869,alrún,ST,Sam,,
5947,althea,ST,Sam,16.04.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=abc65b2f-fd5d-11ee-b883-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
1870,alva,ST,Sam,,
73,alvar,DR,Sam,,
1871,alvilda,ST,Sam,,
74,alvin,DR,Sam,,
5057,alía,ST,Sam,19.01.2021,
4701,alíana,ST,Sam,27.10.2017,
1864,alída,ST,Sam,,
5851,alífa,ST,Sam,07.03.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=b38d66c4-e1e5-11ee-b883-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
4275,alína,ST,Sam,08.08.2012,
1865,alís,ST,Sam,,
1866,alísa,ST,Sam,,
4914,alíta,ST,Sam,20.11.2019,
3562,amadea,ST,Sam,28.12.2004,
3571,amal,ST,Sam,03.02.2005,
1872,amalía,ST,Sam,,
1873,amanda,ST,Sam,,
7957,amaníta,ST,Sam,16.03.2026,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=efa9abe4-2850-11f1-b89c-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
7671,amara,ST,Sam,19.11.2025,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=ac2fc02d-cc3f-11f0-b897-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
4900,amarie,ST,Haf,03.10.2019,
5299,amarie,ST,Sam,01.03.2022,
4148,amelia,ST,Haf,28.10.2004,
8684,amelia,ST,Sam,08.09.2026,
1874,amelía,ST,Sam,,
4425,amil,DR,Sam,30.7.2014,
3948,amilía,ST,Sam,04.11.2009,
5468,amir,DR,Sam,05.01.2023,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=60c2ce57-9b06-11ed-9bb4-005056bc4727&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
6305,amira,ST,Sam,23.08.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=e63ee742-653e-11ef-b887-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
3686,amlín,MI,Sam,25.05.2006,
4809,amon,DR,Sam,13.12.2018,
3911,amor,DR,Sam,17.12.2008,
75,amos,DR,Sam,,
3843,amy,RST,Sam,08.11.2007,
5078,amía,ST,Sam,24.02.2021,
6539,amína,ST,Sam,13.12.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=157cd68b-cc2e-11ef-b88c-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
4222,amír,DR,Sam,1.2.2012,
3446,amíra,ST,Sam,,
1875,amý,ST,Sam,,
6174,ana,ST,Sam,02.07.2024,https://www.stjornarradid.is/gogn/urskurdir-og-alit-/stakur-urskurdur/?newsid=00855d25-3abf-11ef-b886-005056bcde1f&cname=Mannanafnanefnd&cid=e219adf8-4214-11e7-941a-005056bc530c
3534,anais,ST,Haf,19.08.2004,
1876,analía,ST,Sam,,
1775,anastasia,ST,Haf,,
3568,anastasia,ST,Haf,03.02.2005,
1877,anastasía,ST,Sam,,
76,anders,DR,Sam,,
1878,andra,ST,Sam,,
1879,andrea,ST,Sam,,
4654,andrean,DR,Sam,18.03.2017,
77,andreas,DR,Sam,,
